,FAST_Detected,tvd_detected,bagplot_detected
Model 1,0.054,0.051683168,0.054435644
Model 2,0.052,0.00990099,0.00990099
Model 3,0.936,0.06,0.074
Model 4,0.784,0.08,0.058
Model 5,1,0.214,0.05
Model 6,1,0.356,0.074
Model 7,1,0.308,0.034
Model 8,1,0.052,0.054
Model 9,0.874,0.3,0.202
