"","FAST_Detected","FAST_Delay"
"Model 1",0.03,106.866666666667
"Model 2",0.052,47.6538461538462
"Model 3",0.604,11.3237950207175
"Model 4",NA,NA
"Model 5",1,1.89189189189189
"Model 6",1,54.6046025104603
"Model 7",0.984,3.14556716995741
"Model 8",0.892,6.36088906219536
"Model 9",0.582,34.0015680067996
