"","FAST_Detected","FAST_Delay"
"Model 1",0.036,57.6666666666667
"Model 2",0.052,56.1923076923077
"Model 3",0.724,41.3928467577784
"Model 4",0.752,61.9896757478213
"Model 5",1,6.02380952380952
"Model 6",1,16.3155650319829
"Model 7",0.998,26.6142040177917
"Model 8",0.108,69.9786324786325
"Model 9",0.22,55.4470323065364
