"","1","2","3","4","5"
"Model 1",0.052,0.06,0.072,0.074,0.07
"Model 2",0.038,0.052,0.056,0.076,0.084
"Model 3",0.27,0.994,1,1,1
"Model 4",0.084,0.866,0.996,1,1
"Model 5",0.516,1,1,1,1
"Model 6",1,1,1,1,1
"Model 7",0.958,1,1,1,1
"Model 8",0.648,1,1,1,1
"Model 9",0.06,1,1,1,1
