"","1","2","3","4","5"
"Model 1",0.042,0.044,0.068,0.058,0.064
"Model 2",0.04,0.05,0.072,0.07,0.04
"Model 3",0.07,0.842,1,1,1
"Model 4",0.114,0.778,0.994,0.998,0.998
"Model 5",1,1,1,1,1
"Model 6",1,1,1,1,1
"Model 7",1,1,1,1,1
"Model 8",0.06,0.092,0.856,1,1
"Model 9",0.074,0.888,1,1,1
