"","1","2","3","4","5"
"Model 1",0.03,0.04,0.048,0.026,0.032
"Model 2",0.032,0.042,0.038,0.04,0.046
"Model 3",0.042,0.23,0.926,0.99,1
"Model 4",0.026,0.074,0.55,0.934,0.992
"Model 5",0.022,0.548,1,1,1
"Model 6",0.01,0.35,1,1,1
"Model 7",0.04,0.878,1,1,1
"Model 8",0.03,0.984,1,1,1
"Model 9",0.03,0.64,0.95,1,1
