"","FAST_Detected","tvd_detected","bagplot_detected"
"Model 1",0.002,0.0464356435643564,0.0544356435643564
"Model 2",0.018,0.0099009900990099,0.0099009900990099
"Model 3",0.024,0.052,0.074
"Model 4",0.312,0.07,0.058
"Model 5",0.46,0.092,0.05
"Model 6",1,0.164,0.072
"Model 7",0.974,0.156,0.028
"Model 8",1,0.716,0.062
"Model 9",0.022,0.292,0.202
