"","FAST_Detected","FAST_Delay"
"Model 1",0.032,131.5
"Model 2",0.036,43.1111111111111
"Model 3",0.296,20.5867024048842
"Model 4",0.378,73.4479922414957
"Model 5",0.76,64.2618198037467
"Model 6",1,27.2682926829268
"Model 7",0.996,46.6393877396378
"Model 8",1,19.1538461538462
"Model 9",0.046,6.82455030281117
