"","FAST_Detected","FAST_Delay"
"Model 1",0.042,59.8095238095238
"Model 2",0.038,47.2105263157895
"Model 3",0.54,31.0011574074074
"Model 4",0.464,51.0155078710645
"Model 5",1,5.9367816091954
"Model 6",1,38.5488565488566
"Model 7",1,22.0833333333333
"Model 8",0.058,18.6481027268792
"Model 9",0.638,37.8928210575404
