"","FAST_Detected","tvd_detected","bagplot_detected","FAST_Delay","FAST_Delay_sd"
"2",0.05,0.0476237623762376,0.0541584158415842,44.3298969072165,62.4659907469657
"3",0.05,0.0099009900990099,0.0099009900990099,17.0833333333333,36.6715148309965
"4",0.95,0.03,0.06,18.4210526315789,10.7727726968941
"5",0.82,0.07,0.05,38.6890243902439,30.713420724279
"6",1,0.57,0.1,1.25,0.261116483933547
"7",1,0.39,0.05,44.8105263157895,10.4594020340118
"8",1,0.6,0.06,8,1.20369800568452
"9",1,0.05,0.05,72.6666666666667,14.4665270206917
"10",0.93,0.43,0.22,11.9569892473118,18.9222962647951
