"","FAST_Detected","FAST_Delay","FAST_Delay_sd"
"Model 1",0.05,44.3298969072165,62.4659907469657
"Model 2",0.05,17.0833333333333,36.6715148309965
"Model 3",0.93,0,0
"Model 4",0.82,38.6890243902439,30.713420724279
"Model 5",1,1.25,0.261116483933547
"Model 6",1,44.8105263157895,10.4594020340118
"Model 7",1,8,1.20369800568452
"Model 8",1,87.3333333333333,23.1630670846431
"Model 9",0.98,9.8406485882024,14.7531907705722
