"","FAST_Detected","FAST_Delay","FAST_Delay_sd"
"Model 1",0.05,134,214.269689877033
"Model 2",0.03,2,0
"Model 3",0.73,62.3463294696171,75.6176193298906
"Model 4",0.8,45.5,34.8853365880388
"Model 5",1,6.04166666666667,4.19083897485114
"Model 6",1,16.1333333333333,6.66436323843001
"Model 7",1,51,5.1
"Model 8",0.05,25.360824742268,50.127836578093
"Model 9",0.52,37.6796280642435,46.6864117353645
