"","FAST_Detected","FAST_Delay","FAST_Delay_sd"
"Model 1",0.03,124.333333333333,176.650313708562
"Model 2",0.02,4,1.4142135623731
"Model 3",0.31,16.1751152073733,63.041461011398
"Model 4",0.39,61.2913191226444,48.9065593960239
"Model 5",0.89,35.7596482657548,38.5497834214229
"Model 6",1,27.3095238095238,10.1292854754136
"Model 7",1,39,15.0325438212358
"Model 8",1,14.25,3.2636813817553
"Model 9",0.05,57.319587628866,80.7359894966303
