"","FAST_Detected","tvd_detected","bagplot_detected"
"Model 1",0.05,0.0476237623762376,0.0541584158415842
"Model 2",0.0371287128712871,0.0099009900990099,0.0099009900990099
"Model 3",0.19,0.03,0.06
"Model 4",0.56,0.07,0.05
"Model 5",1,0.57,0.1
"Model 6",1,0.39,0.05
"Model 7",1,0.6,0.06
"Model 8",0.74,0.05,0.05
"Model 9",0.43,0.43,0.22
