,FAST_Detected,tvd_detected,bagplot_detected
Model 1,0.05,0.047623762,0.054158416
Model 2,0.037128713,0.00990099,0.00990099
Model 3,0.09,0.05,0.04
Model 4,NA,NA,NA
Model 5,1,0.97,0.07
Model 6,0.06,0.96,0.44
Model 7,1,1,0
Model 8,1,1,0.97
Model 9,0.97,0.8,0.24
