"","FAST_Detected","FAST_Delay","FAST_Delay_sd"
"Model 1",0.03,2,0
"Model 2",0.03,2,0
"Model 3",0.49,38.6588921282799,57.3735595909479
"Model 4",0.47,31.8513813909177,38.5065079738052
"Model 5",1,4.65853658536585,2.60959767013998
"Model 6",1,38.84375,8.66001492988659
"Model 7",1,7.75,1.78486906403735
"Model 8",0.07,12.6315789473684,27.5922694487665
"Model 9",0.83,23.1896658800149,20.9717425994587
